Date,Open,High,Low,Close,Adj Close,Volume
2009-05-18,74.763840,74.763840,74.763840,74.763840,39.976990,0
2009-05-19,46.953915,46.953915,46.953915,46.953915,25.106741,2197692
2009-05-20,46.953915,46.953915,46.953915,46.953915,25.106741,1976771
2009-05-21,46.953915,46.953915,46.953915,46.953915,25.106741,1181354
2009-05-22,46.953915,46.953915,46.953915,46.953915,25.106741,4260924
2009-05-26,75.220520,78.070198,74.749229,75.567596,40.406761,6949902
2009-05-27,75.567596,77.233559,73.989311,75.202255,40.211411,4693668
2009-05-28,75.863525,77.361435,75.863525,77.361435,41.365955,3921791
2009-05-29,77.361435,77.361435,77.361435,77.361435,41.365955,0
2009-06-01,76.762268,77.452766,74.968437,75.666237,40.459499,2749742
2009-06-02,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-03,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-04,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-05,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-08,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-09,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-10,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-11,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-12,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-15,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-16,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-17,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-18,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-19,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-22,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-23,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-24,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-25,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-26,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-29,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-06-30,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-01,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-02,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-06,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-07,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-08,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-09,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-10,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-13,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-14,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-15,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-16,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-17,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-20,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-21,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-22,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-23,75.666237,75.666237,75.666237,75.666237,40.459499,0
2009-07-24,75.666237,75.666237,75.666237,75.666237,40.459499,0
